,County Name,Civilian_labor_force_2019,Civilian_labor_force_2020,Median_Household_Income_2019,PCTPOVALL_2019
1357,Otter Tail County,5,"1,179","1,309",11.0
1358,Pennington County,6,444,396,9.8
1359,Pine County,4,683,864,11.6
1360,Pipestone County,6,179,187,11.1
1361,Polk County,2,734,770,10.8
1362,Pope County,6,171,220,8.9
1363,Ramsey County,1,"7,904","9,947",12.4
1364,Red Lake County,7,159,158,9.9
1365,Redwood County,9,275,361,9.7
1366,Renville County,4,354,463,10.0
1367,Rice County,3,947,"1,154",8.2
1368,Rock County,6,138,136,8.7
1369,Roseau County,11,328,333,6.0
1370,St. Louis County,2,"4,372","5,907",12.8
1371,Scott County,1,"1,373","1,926",4.2
1372,Sherburne County,1,"1,108","1,491",5.5
1373,Sibley County,1,276,348,10.7
1374,Stearns County,2,"2,351","3,007",11.2
1375,Steele County,8,546,747,6.3
1376,Stevens County,11,189,196,11.9
1377,Swift County,9,212,258,9.5
1378,Todd County,6,466,568,11.8
1379,Traverse County,12,84,86,11.9
1380,Wabasha County,2,347,416,8.4
1381,Wadena County,9,334,393,12.5
1382,Waseca County,4,308,397,8.9
1383,Washington County,1,"2,809","3,593",4.6
1384,Watonwan County,6,194,212,10.1
1385,Wilkin County,5,109,141,9.1
1386,Winona County,5,863,"1,058",11.0
1387,Wright County,1,"1,619","2,056",5.2
1388,Yellow Medicine County,9,235,305,9.6
1389,Adams County,8,899,930,27.9
1390,Alcorn County,8,802,911,17.3
1391,Amite County,5,291,273,20.9
1392,Attala County,6,582,565,24.1
1393,Benton County,1,205,200,20.7
1394,Bolivar County,8,"1,149","1,110",36.6
1395,Calhoun County,10,390,548,17.2
1396,Carroll County,8,283,288,17.2
1397,Chickasaw County,9,464,845,22.7
1398,Choctaw County,10,298,347,20.9
1399,Claiborne County,5,383,325,37.5
1400,Clarke County,8,618,689,23.2
1401,Clay County,9,593,781,29.7
1402,Coahoma County,8,889,839,38.2
1403,Copiah County,2,750,703,22.1
1404,Covington County,6,457,413,21.3
1405,DeSoto County,1,"1,396","1,702",9.4
1406,Forrest County,2,"1,671","1,509",23.3
1407,Franklin County,10,222,229,19.6
1408,George County,6,627,665,16.6
1409,Greene County,7,402,348,21.8
1410,Grenada County,8,575,634,20.3
1411,Hancock County,2,896,808,16.7
1412,Harrison County,2,"4,130","3,889",17.5
1413,Hinds County,2,"6,075","5,890",20.1
1414,Holmes County,6,984,894,33.8
1415,Humphreys County,7,391,443,37.1
1416,Issaquena County,7,85,98,35.8
1417,Itawamba County,8,576,565,12.8
1418,Jackson County,2,"3,579","3,406",15.1
1419,Jasper County,8,427,426,20.5
1420,Jefferson County,7,374,349,28.9
1421,Jefferson Davis County,7,524,407,24.3
1422,Jones County,5,"1,304","1,301",23.8
1423,Kemper County,8,359,340,28.0
1424,Lafayette County,3,847,721,17.5
1425,Lamar County,2,785,704,16.0
1426,Lauderdale County,8,"1,928","1,824",21.5
1427,Lawrence County,7,448,406,19.7
1428,Leake County,6,551,526,23.8
1429,Lee County,8,"1,730","1,891",14.6
1430,Leflore County,8,"1,267","1,277",35.7
1431,Lincoln County,5,784,775,19.6
1432,Lowndes County,8,"1,513","1,719",17.2
1433,Madison County,2,"1,605","1,525",10.1
1434,Marion County,6,626,577,23.8
1435,Marshall County,1,628,958,20.3
1436,Monroe County,9,"1,227","1,346",17.9
1437,Montgomery County,9,330,438,23.7
1438,Neshoba County,9,700,722,21.7
1439,Newton County,9,538,514,20.3
1440,Noxubee County,9,412,450,29.2
1441,Oktibbeha County,8,"1,042",980,31.1
1442,Panola County,4,"1,012","1,111",22.8
1443,Pearl River County,3,"1,054",931,18.1
1444,Perry County,2,314,292,19.9
1445,Pike County,5,"1,001",973,26.2
1446,Pontotoc County,8,610,710,15.9
1447,Prentiss County,9,616,611,15.7
1448,Quitman County,4,286,328,35.0
1449,Rankin County,2,"2,228","2,185",11.1
1450,Scott County,6,588,614,19.7
1451,Sharkey County,7,255,249,33.4
1452,Simpson County,2,563,574,17.8
1453,Smith County,7,343,352,18.9
1454,Stone County,6,359,319,18.5
1455,Sunflower County,8,"1,058","1,081",34.0
1456,Tallahatchie County,9,483,521,37.9
1457,Tate County,1,418,503,15.1
1458,Tippah County,4,543,568,16.2
1459,Tishomingo County,6,617,630,17.0
1460,Tunica County,1,198,241,28.1
1461,Union County,4,545,586,13.0
1462,Walthall County,10,423,365,21.7
1463,Warren County,5,"1,204","1,102",20.1
1464,Washington County,8,"1,971","2,256",33.7
1465,Wayne County,9,557,579,22.2
1466,Webster County,10,227,390,17.0
1467,Wilkinson County,7,293,257,31.2
1468,Winston County,9,581,790,25.4
1469,Yalobusha County,9,328,355,24.4
1470,Yazoo County,2,753,704,36.4
1471,Adair County,8,404,579,19.2
1472,Andrew County,2,271,390,8.9
1473,Atchison County,10,90,117,12.9
1474,Audrain County,5,401,556,16.3
1475,Barry County,6,574,761,18.6
1476,Barton County,6,182,251,15.0
1477,Bates County,1,298,384,16.9
1478,Benton County,10,402,498,16.7
1479,Bollinger County,2,258,363,14.5
1480,Boone County,2,"1,756","2,347",17.2
1481,Buchanan County,2,"1,497","2,153",15.8
1482,Butler County,8,924,"1,114",22.5
1483,Caldwell County,1,148,197,13.6
1484,Callaway County,2,621,844,11.6
1485,Camden County,9,801,"1,028",13.5
1486,Cape Girardeau County,2,"1,185","1,514",14.6
1487,Carroll County,4,169,238,13.8
1488,Carter County,10,144,167,19.8
1489,Cass County,1,"1,237","1,700",7.9
1490,Cedar County,6,222,309,17.9
1491,Chariton County,10,164,246,12.5
1492,Christian County,2,868,"1,259",10.4
1493,Clark County,8,139,210,14.2
1494,Clay County,1,"2,603","3,593",9.1
1495,Clinton County,1,295,385,9.9
1496,Cole County,2,"1,032","1,352",10.6
1497,Cooper County,6,268,398,11.8
1498,Crawford County,4,495,595,15.6
1499,Dade County,7,134,163,15.9
1500,Dallas County,2,317,374,17.8
1501,Daviess County,4,128,175,17.6
1502,DeKalb County,2,191,241,14.6
1503,Dent County,9,334,460,19.0
1504,Douglas County,6,280,450,18.7
1505,Dunklin County,8,675,932,26.7
1506,Franklin County,1,"1,824","2,484",9.3
1507,Gasconade County,4,273,385,11.6
1508,Gentry County,7,107,142,11.5
1509,Greene County,2,"3,731","4,966",14.4
1510,Grundy County,11,172,226,18.7
1511,Harrison County,11,143,168,15.4
1512,Henry County,4,404,589,17.3
1513,Hickory County,7,204,234,18.2
1514,Holt County,7,86,114,11.8
1515,Howard County,6,161,220,13.0
1516,Howell County,8,696,848,20.8
1517,Iron County,10,270,336,20.8
1518,Jackson County,1,"12,225","16,468",13.7
1519,Jasper County,2,"1,778","2,307",18.8
1520,Jefferson County,1,"3,517","4,901",8.4
1521,Johnson County,3,787,983,11.4
1522,Knox County,10,76,101,16.7
1523,Laclede County,5,620,945,15.8
1524,Lafayette County,1,561,714,10.7
1525,Lawrence County,6,586,799,16.1
1526,Lewis County,8,188,259,16.6
1527,Lincoln County,1,684,976,9.4
1528,Linn County,11,364,468,18.9
1529,Livingston County,4,207,291,15.0
1530,McDonald County,2,380,464,18.5
1531,Macon County,9,356,598,12.5
1532,Madison County,6,269,346,16.7
1533,Maries County,7,171,231,14.3
1534,Marion County,8,575,731,13.9
1535,Mercer County,12,57,71,12.7
1536,Miller County,6,552,704,15.1
1537,Mississippi County,6,320,485,27.7
1538,Moniteau County,2,230,326,11.0
1539,Monroe County,9,184,251,13.4
1540,Montgomery County,4,216,311,13.3
1541,Morgan County,7,390,571,17.8
1542,New Madrid County,9,454,615,22.5
1543,Newton County,2,"1,047","1,361",13.2
1544,Nodaway County,5,286,376,17.8
1545,Oregon County,10,173,211,20.6
1546,Osage County,2,281,356,9.1
1547,Ozark County,10,188,246,22.7
1548,Pemiscot County,9,469,612,26.9
1549,Perry County,6,267,380,9.1
1550,Pettis County,3,708,"1,186",12.9
1551,Phelps County,8,689,844,17.0
1552,Pike County,4,311,432,17.6
1553,Platte County,1,"1,014","1,409",5.3
1554,Polk County,2,403,586,19.6
1555,Pulaski County,8,749,871,14.6
1556,Putnam County,10,82,102,15.7
1557,Ralls County,8,204,267,10.0
1558,Randolph County,5,465,627,16.5
1559,Ray County,1,434,490,9.2
1560,Reynolds County,12,198,204,21.7
1561,Ripley County,10,291,378,19.7
1562,St. Charles County,1,"4,156","5,915",4.6
1563,St. Clair County,4,174,236,19.3
1564,Ste. Genevieve County,4,308,436,9.7
1565,St. Francois County,3,"1,434","1,628",17.0
1566,St. Louis County,1,"16,441","22,008",9.3
1567,Saline County,3,371,606,15.7
1568,Schuyler County,8,96,122,20.8
1569,Scotland County,10,76,100,14.4
1570,Scott County,5,904,"1,116",17.9
1571,Shannon County,10,207,258,22.6
1572,Shelby County,10,172,196,15.8
1573,Stoddard County,6,630,876,18.4
1574,Stone County,5,906,"1,143",15.4
1575,Sullivan County,10,113,164,15.6
1576,Taney County,5,"1,565","2,000",12.6
1577,Texas County,9,540,651,21.0
1578,Vernon County,11,299,393,17.1
1579,Warren County,1,445,649,10.0
1580,Washington County,4,581,702,22.4
1581,Wayne County,10,293,400,20.6
1582,Webster County,2,521,706,16.2
1583,Worth County,10,44,46,14.9
1584,Wright County,6,372,531,19.6
1585,St. Louis city,1,"8,759","10,967",20.4
1586,Beaverhead County,11,210,178,14.5
1587,Big Horn County,6,520,616,26.1
1588,Blaine County,12,165,135,21.3
1589,Broadwater County,10,102,96,9.0
1590,Carbon County,2,224,211,10.1
1591,Carter County,12,28,24,14.2
1592,Cascade County,2,"1,920","1,735",14.2
1593,Chouteau County,7,107,98,15.4
1594,Custer County,11,276,239,13.0
1595,Daniels County,12,46,41,11.0
1596,Dawson County,11,196,161,11.8
1597,Deer Lodge County,9,307,283,15.9
1598,Fallon County,12,57,45,9.7
1599,Fergus County,11,326,319,13.2
1600,Flathead County,8,"2,097","2,141",9.4
1601,Gallatin County,8,"1,513","1,414",10.3
1602,Garfield County,12,30,22,16.4
1603,Glacier County,11,470,434,25.7
1604,Golden Valley County,2,29,23,19.7
1605,Granite County,7,85,83,12.5
1606,Hill County,11,397,345,15.7
1607,Jefferson County,8,256,236,8.0
1608,Judith Basin County,7,55,47,14.5
1609,Lake County,6,687,855,17.2
1610,Lewis and Clark County,8,"1,270","1,250",9.4
1611,Liberty County,12,41,35,19.0
1612,Lincoln County,9,669,671,17.4
1613,McCone County,12,41,31,14.5
1614,Madison County,10,170,151,9.7
1615,Meagher County,10,59,55,15.7
1616,Mineral County,7,124,128,15.6
1617,Missoula County,2,"2,206","2,191",11.8
1618,Musselshell County,7,129,116,16.5
1619,Park County,9,469,414,11.8
1620,Petroleum County,12,17,10,14.8
1621,Phillips County,12,106,94,14.3
1622,Pondera County,11,144,126,17.5
1623,Powder River County,12,39,30,13.8
1624,Powell County,6,169,156,16.3
1625,Prairie County,12,32,32,13.1
1626,Ravalli County,6,923,876,11.2
1627,Richland County,9,267,229,8.8
1628,Roosevelt County,9,304,244,24.3
1629,Rosebud County,12,254,254,16.3
1630,Sanders County,7,308,319,16.7
1631,Sheridan County,12,94,78,12.3
1632,Silver Bow County,8,"1,008",894,15.3
1633,Stillwater County,7,203,175,9.3
1634,Sweet Grass County,12,64,62,10.3
1635,Teton County,7,133,116,13.5
1636,Toole County,11,104,88,15.8
1637,Treasure County,7,22,16,12.2
1638,Valley County,11,174,156,12.8
1639,Wheatland County,12,55,45,18.3
1640,Wibaux County,12,25,19,11.3
1641,Yellowstone County,2,"2,963","2,648",11.3
1642,Adams County,5,438,522,10.6
1643,Antelope County,10,109,121,12.2
1644,Arthur County,10,6,9,13.6
1645,Banner County,8,12,10,11.3
1646,Blaine County,10,11,8,15.9
1647,Boone County,10,78,100,10.0
1648,Box Butte County,11,248,254,10.3
1649,Boyd County,12,37,43,14.1
1650,Brown County,12,62,64,11.6
1651,Buffalo County,5,566,596,11.6
1652,Burt County,7,151,155,10.1
1653,Butler County,6,131,153,8.2
1654,Cass County,2,373,436,5.3
1655,Cedar County,10,123,126,8.6
1656,Chase County,12,49,51,9.1
1657,Cherry County,11,89,79,10.7
1658,Cheyenne County,11,129,144,10.1
1659,Clay County,7,105,110,10.6
1660,Colfax County,9,120,146,8.2
1661,Cuming County,9,127,131,8.9
1662,Custer County,9,156,155,11.8
1663,Dakota County,2,347,335,10.6
1664,Dawes County,11,151,140,16.4
1665,Dawson County,8,373,435,11.9
1666,Deuel County,12,34,31,11.2
1667,Dixon County,2,85,81,8.7
1668,Dodge County,5,608,751,9.5
1669,Douglas County,2,"7,710","9,138",10.2
1670,Dundy County,12,26,29,13.4
1671,Fillmore County,7,90,103,8.5
1672,Franklin County,10,49,55,14.3
1673,Frontier County,10,43,41,12.9
1674,Furnas County,12,73,69,12.2
1675,Gage County,5,377,391,11.2
1676,Garden County,12,31,36,15.0
1677,Garfield County,12,25,28,12.1
1678,Gosper County,8,29,33,8.9
1679,Grant County,12,10,11,9.6
1680,Greeley County,7,41,42,12.5
1681,Hall County,2,841,944,10.2
1682,Hamilton County,2,120,125,6.5
1683,Harlan County,10,49,52,11.0
1684,Hayes County,10,20,17,15.0
1685,Hitchcock County,12,40,54,11.3
1686,Holt County,11,162,191,11.1
1687,Hooker County,12,15,16,8.2
1688,Howard County,2,90,105,10.1
1689,Jefferson County,9,138,195,9.5
1690,Johnson County,7,153,79,11.2
1691,Kearney County,8,76,88,7.7
1692,Keith County,9,131,145,11.1
1693,Keya Paha County,12,12,11,18.9
1694,Kimball County,7,53,55,12.2
1695,Knox County,10,179,173,12.2
1696,Lancaster County,2,"3,452","4,042",10.7
1697,Lincoln County,8,578,624,10.8
1698,Logan County,8,10,11,8.9
1699,Loup County,12,8,10,15.2
1700,McPherson County,8,5,5,12.6
1701,Madison County,8,622,680,10.2
1702,Merrick County,2,113,124,11.0
1703,Morrill County,10,96,89,13.2
1704,Nance County,7,62,72,10.3
1705,Nemaha County,11,149,135,11.8
1706,Nuckolls County,12,67,72,11.2
1707,Otoe County,6,258,282,8.3
1708,Pawnee County,10,57,57,13.1
1709,Perkins County,10,37,37,9.5
1710,Phelps County,9,118,139,10.0
1711,Pierce County,8,108,122,9.3
1712,Platte County,8,479,610,9.0
1713,Polk County,10,68,83,6.9
1714,Red Willow County,11,160,158,12.0
1715,Richardson County,11,235,221,12.3
1716,Rock County,12,28,31,13.9
1717,Saline County,6,196,226,9.2
1718,Sarpy County,2,"1,487","1,762",5.9
1719,Saunders County,2,309,353,6.9
1720,Scotts Bluff County,8,746,754,13.0
1721,Seward County,2,213,259,7.2
1722,Sheridan County,12,95,87,14.5
1723,Sherman County,7,50,49,12.4
1724,Sioux County,8,14,16,15.9
1725,Stanton County,8,90,93,7.0
1726,Thayer County,12,79,99,10.8
1727,Thomas County,10,21,22,13.9
1728,Thurston County,7,195,168,24.9
1729,Valley County,12,64,74,10.4
1730,Washington County,2,260,308,6.8
1731,Wayne County,6,144,151,11.8
1732,Webster County,10,53,57,12.3
1733,Wheeler County,12,12,12,12.3
1734,York County,6,192,206,9.4
1735,Churchill County,5,693,743,11.7
1736,Clark County,1,"31,122","41,201",13.3
1737,Douglas County,3,828,"1,010",8.1
1738,Elko County,8,882,"1,148",11.0
1739,Esmeralda County,10,41,38,13.8
1740,Eureka County,8,24,32,9.9
1741,Humboldt County,8,355,420,11.0
1742,Lander County,9,153,186,10.9
1743,Lincoln County,4,76,95,13.8
1744,Lyon County,5,968,"1,100",10.2
1745,Mineral County,11,181,158,15.9
1746,Nye County,3,888,"1,126",16.1
1747,Pershing County,10,105,123,17.6
1748,Storey County,2,59,76,7.0
1749,Washoe County,2,"6,691","8,778",10.7
1750,White Pine County,11,146,167,13.7
1751,Carson City,2,916,"1,361",12.2
1752,Belknap County,3,753,919,8.6
1753,Carroll County,4,630,729,9.0
1754,Cheshire County,5,"1,041","1,186",9.7
1755,Coos County,8,623,873,13.9
1756,Grafton County,8,"1,052","1,192",9.2
1757,Hillsborough County,2,"5,392","7,440",7.5
1758,Merrimack County,3,"1,769","2,126",6.4
1759,Rockingham County,1,"4,754","6,412",5.1
1760,Strafford County,1,"1,649","2,001",8.8
1761,Sullivan County,8,535,579,10.1
1762,Atlantic County,2,"5,985","6,096",11.3
1763,Bergen County,1,"14,696","17,313",5.7
1764,Burlington County,1,"6,823","7,824",5.7
1765,Camden County,1,"9,786","10,885",10.7
1766,Cape May County,2,"3,551","3,662",9.8
1767,Cumberland County,2,"3,780","4,207",13.8
1768,Essex County,1,"16,325","19,369",13.8
1769,Gloucester County,1,"4,847","5,315",7.5
1770,Hudson County,1,"14,261","16,366",13.7
1771,Hunterdon County,1,"1,578","1,905",4.0
1772,Mercer County,2,"5,842","6,773",11.9
1773,Middlesex County,1,"13,320","16,162",8.5
1774,Monmouth County,1,"10,177","11,987",6.2
1775,Morris County,1,"6,877","8,429",5.3
1776,Ocean County,1,"8,588","9,676",9.0
1777,Passaic County,1,"10,767","12,612",13.3
1778,Salem County,1,"1,211","1,357",11.4
1779,Somerset County,1,"4,262","5,388",5.4
1780,Sussex County,1,"2,332","2,907",5.2
1781,Union County,1,"10,190","12,086",9.1
1782,Warren County,2,"1,618","1,952",7.1
1783,Bernalillo County,2,"11,689","12,199",15.5
1784,Catron County,10,98,93,20.6
1785,Chaves County,8,"1,455","1,450",18.1
1786,Cibola County,5,687,625,25.5
1787,Colfax County,11,352,360,17.0
1788,Curry County,8,880,814,18.7
1789,De Baca County,12,46,48,18.6
1790,Eddy County,8,"1,329","1,172",11.2
1791,Grant County,8,752,821,18.1
1792,Guadalupe County,9,131,131,23.5
1793,Harding County,12,18,17,15.4
1794,Hidalgo County,9,181,155,22.9
1795,Lea County,8,"1,198","1,015",15.1
1796,Lincoln County,9,412,413,13.7
1797,Los Alamos County,5,325,268,3.5
1798,Luna County,5,"1,684","1,782",23.8
1799,McKinley County,8,"1,630","1,530",30.1
1800,Mora County,10,209,197,21.2
1801,Otero County,5,"1,307","1,312",20.1
1802,Quay County,11,221,225,21.7
1803,Rio Arriba County,5,"1,168","1,165",22.2
1804,Roosevelt County,8,357,333,18.8
1805,Sandoval County,2,"1,869","2,067",10.0
1806,San Juan County,2,"2,875","2,718",19.9
1807,San Miguel County,5,736,768,23.8
1808,Santa Fe County,2,"2,581","2,568",12.4
1809,Sierra County,6,236,252,27.6
1810,Socorro County,6,405,430,26.0
1811,Taos County,8,"1,059","1,051",18.2
1812,Torrance County,2,382,332,21.6
1813,Union County,11,77,71,20.3
1814,Valencia County,2,"1,417","1,468",17.6
1815,Albany County,2,"5,129","5,183",11.7
1816,Allegany County,9,"1,103","1,093",17.9
1817,Bronx County,1,"34,587","36,076",26.2
1818,Broome County,2,"3,541","4,176",17.8
1819,Cattaraugus County,3,"1,846","2,068",14.7
1820,Cayuga County,5,"1,565","1,708",13.8
1821,Chautauqua County,3,"2,719","3,121",16.3
1822,Chemung County,2,"1,830","2,100",14.1
1823,Chenango County,6,973,"1,106",13.7
1824,Clinton County,8,"1,788","1,732",14.8
1825,Columbia County,3,"1,074","1,091",10.1
1826,Cortland County,5,"1,043","1,167",17.3
1827,Delaware County,6,918,920,12.6
1828,Dutchess County,1,"4,419","4,830",8.6
1829,Erie County,1,"19,476","21,527",13.3
1830,Essex County,6,879,848,12.4
1831,Franklin County,8,"1,268","1,308",18.1
1832,Fulton County,5,"1,218","1,189",16.4
1833,Genesee County,3,"1,281","1,387",10.5
1834,Greene County,6,"1,017","1,019",12.6
1835,Hamilton County,7,157,132,9.8
1836,Herkimer County,2,"1,341","1,395",13.7
1837,Jefferson County,2,"2,627","2,835",14.6
1838,Kings County,1,"66,110","68,079",17.7
1839,Lewis County,6,651,764,12.4
1840,Livingston County,1,"1,325","1,427",13.8
1841,Madison County,2,"1,336","1,582",9.8
1842,Monroe County,1,"13,190","15,383",12.7
1843,Montgomery County,5,"1,121","1,181",15.9
1844,Nassau County,1,"22,303","24,890",5.6
1845,New York County,1,"43,125","49,566",14.1
1846,Niagara County,1,"5,110","5,970",12.4
1847,Oneida County,2,"4,272","4,993",14.6
1848,Onondaga County,2,"8,040","9,222",13.8
1849,Ontario County,1,"1,915","2,159",8.1
1850,Orange County,1,"5,419","6,006",12.3
1851,Orleans County,1,937,"1,026",13.2
1852,Oswego County,2,"2,782","3,113",15.6
1853,Otsego County,8,"1,247","1,284",16.2
1854,Putnam County,1,"1,509","1,673",5.2
1855,Queens County,1,"56,202","57,033",11.0
1856,Rensselaer County,2,"2,904","3,079",11.5
1857,Richmond County,1,"11,010","11,283",9.1
1858,Rockland County,1,"4,719","5,107",12.5
1859,St. Lawrence County,5,"2,765","2,972",18.9
1860,Saratoga County,2,"3,650","3,760",6.0
1861,Schenectady County,2,"2,501","2,457",12.1
1862,Schoharie County,2,644,649,12.1
1863,Schuyler County,7,418,508,15.7
1864,Seneca County,3,676,709,13.7
1865,Steuben County,3,"1,949","2,377",15.0
1866,Suffolk County,1,"24,996","28,096",6.8
1867,Sullivan County,4,"1,432","1,514",16.1
1868,Tioga County,2,906,"1,091",9.4
1869,Tompkins County,2,"1,648","1,730",16.9
1870,Ulster County,2,"3,126","3,350",12.0
1871,Warren County,2,"1,375","1,477",10.1
1872,Washington County,2,"1,110","1,213",11.9
1873,Wayne County,1,"1,844","2,249",11.4
1874,Westchester County,1,"15,546","17,553",8.4
1875,Wyoming County,4,951,999,9.9
1876,Yates County,1,445,460,13.9
1877,Alamance County,2,"2,198","3,890",14.6
1878,Alexander County,2,536,"1,139",11.7
1879,Alleghany County,10,340,454,16.9
1880,Anson County,4,582,967,21.4
1881,Ashe County,10,641,"1,020",14.6
1882,Avery County,7,320,444,16.4
1883,Beaufort County,5,"1,258","1,743",17.6
1884,Bertie County,11,595,663,24.2
1885,Bladen County,6,902,"1,313",21.2
1886,Brunswick County,2,"1,614","2,084",10.2
1887,Buncombe County,2,"3,391","4,731",12.2
1888,Burke County,2,"1,646","3,014",18.4
1889,Cabarrus County,1,"2,190","3,674",7.9
1890,Caldwell County,2,"1,241","2,782",12.0
1891,Camden County,3,99,135,7.6
1892,Carteret County,5,"1,230","1,607",10.4
1893,Caswell County,7,409,735,16.2
1894,Catawba County,2,"2,224","5,177",13.3
1895,Chatham County,2,743,"1,153",8.7
1896,Cherokee County,12,742,899,17.7
1897,Chowan County,4,258,355,18.5
1898,Clay County,12,165,196,14.0
1899,Cleveland County,3,"2,435","4,657",19.0
1900,Columbus County,6,"1,819","1,952",22.3
1901,Craven County,2,"1,612","2,209",13.8
1902,Cumberland County,2,"5,342","7,320",18.0
1903,Currituck County,1,254,293,8.8
1904,Dare County,3,808,"1,079",8.9
1905,Davidson County,2,"2,603","5,005",15.2
1906,Davie County,2,780,"1,002",10.9
1907,Duplin County,6,"1,017","1,414",17.7
1908,Durham County,2,"3,621","5,591",14.0
1909,Edgecombe County,2,"1,469","2,121",21.0
1910,Forsyth County,2,"5,217","7,725",15.2
1911,Franklin County,1,796,"1,247",11.6
1912,Gaston County,1,"5,530","7,779",11.6
1913,Gates County,1,160,206,14.7
1914,Graham County,12,253,353,16.8
1915,Granville County,3,996,"1,484",14.6
1916,Greene County,7,402,588,20.2
1917,Guilford County,2,"7,663","11,985",16.0
1918,Halifax County,5,"1,391","2,238",23.8
1919,Harnett County,3,"1,614","2,680",15.6
1920,Haywood County,2,"1,011","1,508",10.6
1921,Henderson County,2,"1,278","1,879",10.6
1922,Hertford County,4,496,706,23.0
1923,Hoke County,2,833,999,16.9
1924,Hyde County,10,164,202,19.2
1925,Iredell County,1,"2,323","3,876",8.2
1926,Jackson County,5,678,826,19.3
1927,Johnston County,1,"1,865","2,822",12.5
1928,Jones County,2,214,262,18.8
1929,Lee County,5,991,"1,530",14.2
1930,Lenoir County,5,"1,466","2,224",23.1
1931,Lincoln County,1,"1,318","2,397",9.0
1932,McDowell County,5,927,"1,554",13.6
1933,Macon County,9,550,671,14.3
1934,Madison County,2,352,535,14.6
1935,Martin County,6,823,826,20.6
1936,Mecklenburg County,1,"11,706","18,065",10.3
1937,Mitchell County,10,352,710,14.8
1938,Montgomery County,6,504,876,16.1
1939,Moore County,5,"1,261","1,727",11.3
1940,Nash County,2,"2,006","2,819",16.4
1941,New Hanover County,2,"3,222","4,492",13.0
1942,Northampton County,8,475,737,21.6
1943,Onslow County,2,"2,329","3,006",12.5
1944,Orange County,2,"1,639","2,324",13.4
1945,Pamlico County,2,221,298,15.9
1946,Pasquotank County,3,587,784,14.3
1947,Pender County,2,805,"1,134",11.5
1948,Perquimans County,3,188,267,15.0
1949,Person County,2,795,"1,298",15.4
1950,Pitt County,2,"2,939","4,107",19.2
1951,Polk County,7,310,380,12.1
1952,Randolph County,2,"2,486","4,086",14.1
1953,Richmond County,8,"1,122","1,782",25.8
1954,Robeson County,5,"3,627","5,145",31.5
1955,Rockingham County,2,"2,231","3,238",18.4
1956,Rowan County,1,"2,965","4,332",13.9
1957,Rutherford County,5,"1,820","2,329",18.5
1958,Sampson County,4,"1,022","1,823",16.8
1959,Scotland County,5,"1,011","1,511",28.5
1960,Stanly County,3,"1,165","2,120",10.7
1961,Stokes County,2,841,"1,291",13.0
1962,Surry County,5,"1,509","2,306",16.0
1963,Swain County,7,552,539,16.1
1964,Transylvania County,5,437,683,13.1
1965,Tyrrell County,8,138,152,25.4
1966,Union County,1,"1,885","2,914",7.3
1967,Vance County,3,"1,390","1,855",18.5
1968,Wake County,1,"8,880","15,188",8.0
1969,Warren County,4,495,705,21.7
1970,Washington County,9,323,426,21.3
1971,Watauga County,8,677,865,21.4
1972,Wayne County,2,"2,044","2,935",18.6
1973,Wilkes County,3,"1,221","2,046",15.2
1974,Wilson County,3,"2,090","2,810",21.5
1975,Yadkin County,2,685,"1,008",13.9
1976,Yancey County,7,314,810,14.2
1977,Adams County,12,36,31,10.7
1978,Barnes County,6,192,168,9.9
1979,Benson County,12,156,148,23.3
1980,Billings County,10,12,11,9.7
1981,Bottineau County,10,132,111,9.7
1982,Bowman County,12,37,37,8.0
1983,Burke County,10,31,29,8.8
1984,Burleigh County,2,940,943,6.9
1985,Cass County,2,"1,598","1,564",11.4
1986,Cavalier County,12,79,71,9.1
1987,Dickey County,10,65,71,10.6
1988,Divide County,10,31,27,10.8
1989,Dunn County,10,56,56,9.8
1990,Eddy County,12,57,56,10.0
1991,Emmons County,7,87,86,13.7
1992,Foster County,10,56,53,8.8
1993,Golden Valley County,12,28,21,12.1
1994,Grand Forks County,2,"1,013",989,13.2
1995,Grant County,7,42,41,14.9
1996,Griggs County,12,34,31,9.5
1997,Hettinger County,10,38,33,12.5
1998,Kidder County,7,60,64,14.1
1999,LaMoure County,10,64,68,12.2
2000,Logan County,10,29,29,13.2
2001,McHenry County,8,137,133,12.1
2002,McIntosh County,12,45,41,13.9
2003,McKenzie County,10,84,72,7.4
2004,McLean County,7,214,210,9.4
2005,Mercer County,11,195,179,7.7
2006,Morton County,2,416,425,7.9
2007,Mountrail County,10,141,122,9.5
2008,Nelson County,7,70,65,11.2
2009,Oliver County,2,47,41,10.6
2010,Pembina County,12,244,197,8.8
2011,Pierce County,9,75,80,11.6
2012,Ramsey County,11,208,196,12.3
2013,Ransom County,7,73,70,8.7
2014,Renville County,8,33,30,8.9
2015,Richland County,5,257,263,12.4
2016,Rolette County,12,496,459,25.9
2017,Sargent County,10,56,70,7.5
2018,Sheridan County,12,41,41,16.7
2019,Sioux County,2,71,63,32.1
2020,Slope County,12,11,9,13.5
2021,Stark County,8,350,324,8.5
2022,Steele County,7,23,21,7.4
2023,Stutsman County,8,300,292,10.8
2024,Towner County,12,41,38,10.7
2025,Traill County,7,123,124,8.0
2026,Walsh County,6,232,205,11.7
2027,Ward County,8,895,874,9.0
2028,Wells County,12,94,85,12.4
2029,Williams County,8,305,251,6.4
2030,Adams County,4,960,950,19.1
